timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,label
2025-07-14T13:09:31.219343,9516,-632,16072,3119,1415,-528,falling
2025-07-14T13:09:31.219343,9004,308,15572,5834,3099,-2332,falling
2025-07-14T13:09:31.219343,8888,1292,13760,6307,3849,-3374,falling
2025-07-14T13:09:31.219343,7988,3000,13272,6760,4199,-5389,falling
2025-07-14T13:09:31.219343,7252,4080,12820,5937,4314,-4975,falling
2025-07-14T13:09:31.219343,7328,5432,11496,5824,4143,-2783,falling
2025-07-14T13:09:31.219343,5568,4080,9852,4550,6745,-1293,falling
2025-07-14T13:09:31.219343,5408,4356,10704,2482,5694,-1956,falling
2025-07-14T13:09:31.219343,5636,4604,9868,-87,583,-3535,falling
2025-07-14T13:09:31.219343,6904,4924,10036,-2313,347,-3938,falling
2025-07-14T13:09:31.219343,7088,4436,10204,-3858,2614,-1860,falling
2025-07-14T13:09:31.219343,6488,2992,10972,-4500,4177,-946,falling
2025-07-14T13:09:31.219343,6120,1988,11872,-4506,4057,-1541,falling
2025-07-14T13:09:31.219343,5564,1524,12844,-4653,3332,-2422,falling
2025-07-14T13:09:31.219343,5352,1628,13116,-5294,1104,-3545,falling
2025-07-14T13:09:31.219343,5600,1908,13360,-5786,-1050,-4044,falling
2025-07-14T13:09:31.219343,5752,2100,13460,-5437,-1094,-2807,falling
2025-07-14T13:09:31.219343,5916,2252,13576,-5011,339,-1480,falling
2025-07-14T13:09:31.219343,5516,1740,14612,-5422,327,-324,falling
2025-07-14T13:09:31.219343,5764,1308,15108,-5711,-474,188,falling
2025-07-14T13:09:31.219343,5880,740,15756,-5932,-2062,13,falling
2025-07-14T13:09:31.219343,6396,-92,15660,-5749,-2144,-712,falling
2025-07-14T13:09:31.219343,6804,964,15992,-4432,9,-500,falling
2025-07-14T13:09:31.219343,6860,1152,17500,-1497,2014,1645,falling
2025-07-14T13:09:31.219343,5804,756,17556,-274,2860,3545,falling
2025-07-14T13:09:31.219343,6200,980,17820,-952,2765,2948,falling
2025-07-14T13:09:31.219343,6160,1300,18000,-2605,-79,1762,falling
2025-07-14T13:09:31.219343,7896,1572,18156,-3409,883,2274,falling
